Type,,Cen Lat,Cen Lon,Point 1 Lat,Point 1 Lon,Point 2 Lat,Point 2 Lon,Point 3 Lat,Point 3 Lon,Point 4 Lat,Point 4 Lon,Point 5 Lat,Point 5 Lon,Point 6 Lat,Point 6 Lon,Point 7 Lat ,Point 7 Lon,Point 8 Lat ,Point 8 Lon,Point 9 Lat ,Point 9 Lon,Point 10 Lat ,Point 10 Lon,Point 11 Lat ,Point 11 Lon,Point 12 Lat ,Point 12 Lon,Point 13 Lat ,Point 13 Lon,Point 14 Lat ,Point 14 Lon,Point 15 Lat ,Point 15 Lon,Point 16 Lat ,Point 16 Lon,Point 17 Lat ,Point 17 Lon,Point 18 Lat ,Point 18 Lon,Point 19 Lat ,Point 19 Lon,Point 20 Lat ,Point 20 Lon,Point 21 Lat ,Point 21 Lon,Point 22 Lat ,Point 22 Lon,Point 23 Lat ,Point 23 Lon,Point 24 Lat ,Point 24 Lon,Point 25 Lat ,Point 25 Lon,Point 26 Lat ,Point 26 Lon,Point 27 Lat ,Point 27 Lon,Point 28 Lat ,Point 28 Lon,Point 29 Lat ,Point 29 Lon,Point 30 Lat ,Point 30 Lon,Point 31 Lat ,Point 31 Lon,Point 32 Lat ,Point 32 Lon,Point 33 Lat ,Point 33 Lon,Point 34 Lat ,Point 34 Lon,Point 35 Lat ,Point 35 Lon,Point 36 Lat ,Point 36 Lon
Cooper Lodge,,-35.238995,149.082830,-35.238764,149.082089,-35.238749,149.082277,-35.239147,149.082320,-35.239127,149.082458,-35.239043,149.082459,-35.239027,149.082590,-35.239040,149.082709,-35.239051,149.082709,-35.239051,149.082723,-35.238973,149.082722,-35.238966,149.082668,-35.238917,149.082672,-35.238888,149.082721,-35.238742,149.08272,-35.238747,149.082913,-35.239246,149.082913,-35.239244,149.082460,-35.239183,149.082458,-35.239183,149.082324,-35.239255,149.082332,-35.239269,149.082145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Concourse,,-35.238594,149.083964,-35.236920,149.083666,-35.236939,149.084188,-35.239307,149.084222,-35.239301,149.083673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Elevator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Shower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Lecture Theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Evacuation Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Telephone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
